Rank,Title,Year,Country,Gener,Rating
113,头脑特工队,2013??,??韩国??,??剧情,8.9
114,哈利·波特与火焰杯,2004??,??美国,??剧情,8.8
115,未麻的部屋,1995??,??美国,??剧情,9.1
116,被嫌弃的松子的一生,2015??,??美国??,??喜剧,8.8
117,重庆森林,2005??,??英国,??悬疑,8.8
118,借东西的小人阿莉埃蒂,1997??,??日本??,??剧情,8.9
119,菊次郎的夏天,2006??,??日本??,??剧情,8.9
120,入殓师,1994??,??中国香港??,??剧情,8.9
121,断背山,2010??,??日本??,??动画,8.8
122,剪刀手爱德华,1999??,??日本??,??剧情,8.7
123,勇敢的心,2008??,??日本??,"??剧情",8.9
124,时空恋旅人,2005??,??美国,??剧情,8.8
125,玩具总动员3,1990??,??美国??,??剧情,8.9
126,傲慢与偏见,1995??,??美国??,??动作,8.7
127,驯龙高手,2013??,??英国,??喜剧,8.8
128,新世界,2010??,??美国??,??喜剧,8.9
129,消失的爱人,2005??,??法国,??剧情,8.7
130,无人知晓,2010??,??美国??,??动画,9.1
131,倩女幽魂,2013??,??韩国??,??剧情,8.8
132,花样年华,2014??,??美国??,??剧情,8.8
133,色，戒,2004??,??日本??,"??剧情",8.7
134,一个叫欧维的男人决定去死,1987??,??中国香港??,??爱情,8.9
135,怪兽电力公司,2000??,??中国香港??,??剧情,8.8
136,完美的世界,2007??,??中国台湾,??剧情,9.1
137,教父3,2015??,??瑞典??,"??剧情",9
138,九品芝麻官,2001??,??美国??,??儿童,8.8
139,小森林 夏秋篇,1993??,??美国??,??剧情,9
140,天使爱美丽,1990??,??美国??,??剧情,8.7
141,阳光灿烂的日子,1994??,??中国香港??,??剧情,8.8
142,哪吒闹海,2014??,??日本??,"??剧情",9.2
143,被解救的姜戈,2001??,??法国,??剧情,8.8
144,侧耳倾听,1994??,??中国大陆,??剧情,8.9
145,幸福终点站,1979??,??中国大陆??,??冒险,8.8
146,请以你的名字呼唤我,2012??,??美国??,??剧情,8.8
147,釜山行,1995??,??日本??,??剧情,8.6
148,神偷奶爸,2004??,??美国??,??喜剧,8.7
149,小森林 冬春篇,2017??,??意大利,??剧情,9
150,喜宴,2016??,??韩国??,??动作,9
151,萤火之森,2010??,??美国,??喜剧,8.8
152,告白,2015??,??日本??,"??剧情",8.8
153,机器人之梦,1993??,??中国台湾,??剧情,9.1
154,七武士,2011??,??日本??,??剧情,9.3
155,头号玩家,2010??,??日本??,??剧情,8.6
156,玛丽和麦克斯,2023??,??西班牙,??剧情,9
157,模仿游戏,1954??,??日本??,??动作,8.8
158,惊魂记,2018??,??美国??,??动作,9
159,心灵奇旅,2009??,??澳大利亚,??剧情,8.7
160,大鱼,2014??,??英国,??剧情,8.8
161,背靠背，脸对脸,1960??,??美国??,??悬疑,9.4
162,你的名字。,2020??,??美国??,??动画,8.5
163,血战钢锯岭,2003??,??美国??,??剧情,8.7
164,射雕英雄传之东成西就,1994??,??中国大陆,"??剧情",8.7
165,高山下的花环,2016??,??日本??,??剧情,9.5
166,末路狂花,2016??,??澳大利亚,??剧情,9
167,我是山姆,1993??,??中国香港??,??喜剧,9
168,阳光姐妹淘,1984(中国大陆) ,,??中国大陆??,8.8
169,黑客帝国3：矩阵革命,"??剧情 战争",??剧情,??剧情,8.8
170,恐怖直播,1991??,??美国,??剧情,8.7
171,谍影重重3,2001??,??美国??,??剧情,8.9
172,小丑,2011??,??韩国??,??剧情,8.7
173,无间道2,2003??,??美国??,??动作,8.8
174,三块广告牌,2013??,??韩国??,??剧情,8.7
175,电锯惊魂,2007??,??美国,??动作,8.7
176,达拉斯买家俱乐部,2019??,??美国,??剧情,8.8
177,疯狂原始人,2003??,??中国香港??,??剧情,8.7
178,疯狂的石头,2017??,??英国,??剧情,8.6
179,绿里奇迹,2004??,??美国??,??悬疑,8.9
180,雨中曲,2013??,??美国??,??剧情,9.1
181,爱在午夜降临前,2013??,??美国??,??喜剧,8.8
182,2001太空漫游,2006??,??中国大陆,??喜剧,8.9
183,海街日记,1999??,??美国??,??犯罪,8.8
184,心迷宫,1952??,??美国??,??喜剧,8.7
185,上帝之城,2013??,??美国,??剧情,9
186,风之谷,1968??,??英国,??科幻,8.9
187,记忆碎片,2015??,??日本??,??剧情,8.7
188,英雄本色,2014??,??中国大陆??,??剧情,8.6
189,纵横四海,2002??,??巴西,??犯罪,8.8
190,恐怖游轮,1984??,??日本??,??动画,8.5
191,无敌破坏王,2000??,??美国??,??犯罪,8.7
192,芙蓉镇,1986??,??中国香港??,??剧情,9.3
193,魔女宅急便,1991??,??中国香港??,??剧情,8.8
